Date,G40,G42,G43,G44,G45,G46,G47,G48,G49,G51,G53,G65
Nov-09,3.987333333,5.571,4.003333333,,3.853666667,2.891333333,2.827241379,2.575666667,4.116,4.186,4.121333333,4.358
Dec-09,3.802580645,6.402,4.13483871,,4.185806452,3.367741935,3.248181818,2.777741935,4.33516129,4.287142857,4.438709677,4.257741935
Jan-10,3.705,6.501363636,4.629032258,,4.348709677,3.98,4.1092,3.422857143,5.246774194,4.13,5.136896552,4.147096774
Feb-10,3.456538462,5.045185185,4.731071429,,3.486785714,3.295714286,3.652142857,2.984642857,5.039285714,4.245769231,4.9225,4.12
Mar-10,4.086129032,5.308666667,4.569354839,2.82,3.818387097,3.028125,2.91,2.666129032,4.514193548,,4.662903226,4.924516129
Apr-10,3.899666667,5.146666667,3.955333333,,3.366333333,,2.552,2.413333333,3.838666667,4.615172414,4.033,4.463666667
May-10,3.788387097,5.692580645,4.720322581,2.475333333,3.85483871,3.005862069,2.970645161,2.747419355,4.218064516,4.521153846,4.268387097,4.411290323
Jun-10,5.153333333,6.657692308,6.064333333,2.777666667,5.193333333,3.673333333,3.906333333,3.758333333,5.313333333,,5.414,6.090357143
Jul-10,4.368387097,5.514545455,6.134516129,2.516129032,3.891612903,3.135806452,3.221290323,2.883548387,4.413809524,4.782333333,4.592903226,5.080645161
Aug-10,4.127419355,5.319354839,5.999677419,2.20483871,3.336129032,2.832258065,2.894516129,2.493870968,3.855483871,3.956451613,3.975806452,4.191290323
Sep-10,3.286333333,5.763666667,4.250333333,2.06,3.614333333,2.894333333,2.980333333,2.669,3.999,3.686666667,3.996666667,4.04
Oct-10,3.002258065,5.750645161,3.017419355,,3.558387097,2.93,3.065555556,2.804666667,4.113548387,3.760645161,4.156774194,4.157096774
Nov-10,3.056333333,5.926666667,4.05875,,3.811666667,3.010333333,,2.868666667,4.173793103,3.755666667,4.232333333,4.237
Dec-10,3.140689655,5.807741935,4.10137931,,3.956774194,3.333870968,3.656363636,2.819677419,4.699666667,3.710967742,4.817096774,4.174193548
Jan-11,3.154166667,5.607096774,4.251612903,,5.248148148,4.171,4.9255,3.032666667,5.377741935,3.638709677,4.978387097,4.096774194
Feb-11,3.144615385,5.880357143,4.424285714,1.695,4.535714286,3.670833333,,2.933076923,5.269615385,3.79,5.425,4.216428571
Mar-11,3.121935484,6.405806452,4.030645161,,4.571935484,3.474333333,,,4.620322581,3.930967742,4.877419355,4.262903226
Apr-11,3.18,6.568,4.016666667,,4.686666667,3.577,3.669130435,3.228,4.895,4.228,4.822333333,4.583333333
May-11,3.41483871,6.680322581,4.487096774,1.753333333,4.84516129,3.697741935,3.823548387,,5.01516129,4.922258065,5.042258065,5.535806452
Jun-11,3.972,7.610333333,5.228333333,2.232,5.908888889,4.326666667,4.591538462,,5.817666667,4.931,5.889,4.942692308
Jul-11,4.257,6.966296296,5.968064516,2.380322581,5.221935484,4.085,4.3,3.65,5.342580645,4.688709677,5.599677419,4.508064516
Aug-11,4.189032258,6.368709677,6.076451613,2.232258065,4.46516129,3.663529412,3.969655172,3.329259259,4.766451613,4.399677419,4.916451613,4.330967742
Sep-11,3.583,6.560666667,5.583,2.14,4.586333333,3.646,3.950666667,3.282,4.842666667,3.979,4.854,4.063928571
Oct-11,3.386774194,6.348709677,4.138709677,1.275,4.328387097,3.618214286,3.827096774,,4.717419355,3.890645161,4.801935484,4.133548387
Nov-11,3.216,5.949333333,3.362666667,,3.867666667,,3.496666667,,4.346333333,3.903,4.447333333,4.245
Dec-11,3.312903226,5.917741935,3.548064516,,3.851034483,,,,4.345806452,3.945483871,4.42516129,4.161935484
Jan-12,3.232333333,6.00516129,3.703225806,,3.868064516,,,,4.539354839,3.930322581,4.556129032,4.121612903
Feb-12,3.178965517,6.056896552,3.782413793,,3.952413793,,,,4.443793103,3.999655172,4.511034483,4.242222222
Mar-12,3.154193548,5.608387097,3.286774194,,3.538387097,,,,4.204516129,4.124193548,4.288709677,4.276923077
