"","Var1","Var2","Cor","Lag","Months"
"867","GS","W67",0.239960950651424,-0.0833333333333333,-1
"868","GS","W70",0.201723290832244,0,0
"869","GS","W73",0.246493715855742,-0.0833333333333333,-1
"870","GS","W74",0.182714499663728,-1.66666666666667,-20
"871","GS","W78",0.271416564420909,-0.0833333333333333,-1
"872","GS","W80",0.184163502957532,0,0
"873","GS","W81",0.226169645932007,-0.0833333333333333,-1
"874","GS","W115",0.211672071320047,1.16666666666667,14
"875","GS","W116",0.311299139598422,-0.0833333333333333,-1
"876","GS","W118",0.265931600837575,-1.25,-15
"877","GS","G40",0.204481179293704,0,0
"878","GS","G42",0.183365101522222,-1.66666666666667,-20
"879","GS","G45",0.251626757379783,-1.66666666666667,-20
"880","GS","G49",0.248425429173177,-1.66666666666667,-20
"881","GS","G51",0.267647830590737,0,0
"882","GS","G53",0.235796925772694,-1.66666666666667,-20
"883","GS","G65",0.387645328647871,0,0
"884","GS","RV",0.539103432403187,0,0
"885","GS","CDY",0.529337179579985,0,0
"886","GS","KY",0.575629767903177,0,0
"887","GS","HY",0.308960470840019,0,0
"888","GS","GI",0.594601799770297,0,0
"889","GS","GO",0.279796181568895,0,0
"890","GS","NP",0.262323229664711,0,0
"891","GS","DC",0.699836303305517,0,0
"892","GS","RVT",0.233157803603868,-0.0833333333333333,-1
"893","GS","CDYT",0.240892615504807,0.916666666666667,11
"894","GS","KYT",0.23568174990506,-0.0833333333333333,-1
"895","GS","HYT",0.236505204905279,-0.0833333333333333,-1
"896","GS","GIT",0.241413026320236,-0.0833333333333333,-1
"897","GS","GOT",0.264405149972029,-0.0833333333333333,-1
"898","GS","NPT",0.258820088721418,-0.0833333333333333,-1
"899","GS","DCT",0.22726966217737,-0.0833333333333333,-1
"900","GS","Pu",0.19455343262022,-0.166666666666667,-2
"901","GO","W60",0.179668267287452,1.16666666666667,14
"902","GO","W63",0.155306144633181,1.16666666666667,14
"903","GO","W67",0.141881075847713,-0.166666666666667,-2
"904","GO","W70",0.292071425328755,-0.0833333333333333,-1
"905","GO","W73",0.211023690329908,-0.0833333333333333,-1
"906","GO","W74",0.180925869918787,1.16666666666667,14
"907","GO","W78",0.166944922541096,-0.166666666666667,-2
"908","GO","W80",0.17805121092412,0,0
"909","GO","W81",0.159201253928606,-0.0833333333333333,-1
"910","GO","W115",0.224289239587612,-0.0833333333333333,-1
"911","GO","W116",0.179324897087183,-0.0833333333333333,-1
"912","GO","W118",0.200030823007433,-0.25,-3
"913","GO","G40",0.241087735628198,0,0
"914","GO","G42",0.192849357378251,1.16666666666667,14
"915","GO","G45",0.19393849099309,1.33333333333333,16
"916","GO","G49",0.190340795531605,-0.666666666666667,-8
"917","GO","G51",0.188359271652101,0,0
"918","GO","G53",0.194740117201409,-0.666666666666667,-8
"919","GO","G65",0.259813445110963,0,0
"920","GO","RV",0.590315676016653,0,0
"921","GO","CDY",0.574109991117643,0,0
"922","GO","KY",0.545936539442934,0,0
"923","GO","HY",0.482320894304476,0,0
"924","GO","GI",0.58053064560375,0,0
"925","GO","GS",0.279796181568895,0,0
"926","GO","NP",0.485026490830382,0,0
"927","GO","DC",0.396525012900308,0,0
"928","GO","RVT",0.228405465029235,-0.0833333333333333,-1
"929","GO","CDYT",0.243101385140463,-0.0833333333333333,-1
"930","GO","KYT",0.230151307733282,-0.0833333333333333,-1
"931","GO","HYT",0.22814049796861,-0.0833333333333333,-1
"932","GO","GIT",0.234132899395314,-0.0833333333333333,-1
"933","GO","GOT",0.248303629050905,-0.0833333333333333,-1
"934","GO","NPT",0.221528006958642,-0.0833333333333333,-1
"935","GO","DCT",0.232546449006833,-0.0833333333333333,-1
"936","GO","Pu",0.164605125161886,0.25,3
"937","NP","W60",0.248958656324943,1.33333333333333,16
"938","NP","W63",0.186296694498878,0.25,3
"939","NP","W67",0.18731017947139,0.25,3
"940","NP","W70",0.328911503292898,-0.0833333333333333,-1
"941","NP","W73",0.191776093109004,-0.166666666666667,-2
"942","NP","W74",0.229488607751469,1.33333333333333,16
"943","NP","W78",0.179578770388724,1.25,15
"944","NP","W80",0.234959710552683,1.16666666666667,14
"945","NP","W81",0.248575840047679,0.333333333333333,4
"946","NP","W115",0.204681850782324,-0.0833333333333333,-1
"947","NP","W116",0.249113175500117,-0.0833333333333333,-1
"948","NP","W118",0.250733464635227,-1.25,-15
"949","NP","G40",0.191142205105537,0.25,3
"950","NP","G42",0.184610917882357,1.33333333333333,16
"951","NP","G45",0.252965880053329,1.33333333333333,16
"952","NP","G49",0.246735304579949,1.33333333333333,16
"953","NP","G51",0.270591003863848,-0.0833333333333333,-1
"954","NP","G53",0.265233051965829,1.33333333333333,16
"955","NP","G65",0.197014792201519,-0.0833333333333333,-1
"956","NP","RV",0.511708838455697,0,0
"957","NP","CDY",0.538186144108592,0,0
"958","NP","KY",0.580315599095016,0,0
"959","NP","HY",0.621895042248388,0,0
"960","NP","GI",0.466762055599718,0,0
"961","NP","GS",0.262323229664711,0,0
"962","NP","GO",0.485026490830382,0,0
"963","NP","DC",0.209045484915492,0,0
"964","NP","RVT",0.246291702556159,0,0
"965","NP","CDYT",0.222042721628468,0,0
"966","NP","KYT",0.244323434871893,0,0
"967","NP","HYT",0.216998401483143,0.916666666666667,11
"968","NP","GIT",0.245003379007915,0,0
"969","NP","GOT",0.228483110632294,0.916666666666667,11
"970","NP","NPT",0.224930636643016,0.916666666666667,11
"971","NP","DCT",0.264285314873118,0,0
"972","NP","Pu",0.260409800715713,-0.75,-9
"973","DC","W60",0.245931492284557,-1.66666666666667,-20
"974","DC","W63",0.121907483167226,-0.0833333333333333,-1
"975","DC","W67",0.123536143810797,0.166666666666667,2
"976","DC","W70",0.185528902751718,-0.833333333333333,-10
"977","DC","W73",0.203035422902827,0,0
"978","DC","W74",0.260081539250186,1.16666666666667,14
"979","DC","W78",0.201505574392688,-0.0833333333333333,-1
"980","DC","W80",0.132882564093213,0,0
"981","DC","W81",0.153435132836644,-0.0833333333333333,-1
"982","DC","W115",0.153838246319806,-0.0833333333333333,-1
